Text,label
Feeling like I'm carrying a weight of apprehension that's hard to shake.,non-target
I'm constantly anticipating the next panic attack.,non-target
I'm overwhelmed by the constant 'what ifs'.,Anxiety Disorder
"I'm constantly grappling with my own anger, trying to contain it.",non-target
I feel like something bad is always about to happen.,Anxiety Disorder
"Feeling like I'm constantly scanning for signs of trouble, even when there's none.",Anxiety Disorder
"Even in calm moments, my mind can race with thoughts of potential danger.",Anxiety Disorder
"There are times when my mind is a storm, making it hard to focus.",non-target
Feeling like I'm constantly trying to keep emotions in check.,non-target
I feel like I'm on the verge of a panic attack all the time.,Anxiety Disorder
I'm consumed by the need to be perfect and avoid mistakes.,Anxiety Disorder
I'm paralyzed by fear and can't make decisions.,Anxiety Disorder
I feel like my anxiety is a never-ending battle.,Anxiety Disorder
Feeling like I'm carrying a weight of concern that's hard to put down.,non-target
I'm terrified of being judged for my irrational fears.,Anxiety Disorder
Trying to find a way to calm the storm of thoughts that never seem to settle.,Anxiety Disorder
Feeling like I'm walking through a world of uncertainty with no map.,Anxiety Disorder
I don't have the energy to face another day.,non-target
shedfire mrsshedfire been taking picture of you without your shirt bleeeech,non-target
i m trying to plan trip low budget though don t think it is working,non-target
Trying to find moments of peace amidst the turbulence of my thoughts.,Anxiety Disorder
I wish I could find a way to manage my anger without hurting anyone.,non-target
The challenge is finding ways to handle powerful emotional reactions.,non-target
Trying to quiet the chaos in my mind when everything feels overwhelming.,Anxiety Disorder
Trying to find a way to calm the storm of uncertainty in my mind.,Anxiety Disorder
i miss family guyyy,non-target
I feel like I'm constantly battling with my own rage.,non-target
"Feeling like I'm constantly on alert, ready for whatever might go wrong.",Anxiety Disorder
I'm convinced that my body is betraying me during an attack.,non-target
The fear of judgment can keep me from expressing my true self.,Anxiety Disorder
"The fear of failure can be all-consuming, holding me back from taking risks.",Anxiety Disorder
lol honeybaby i sound like a ny quil commercial that word only look right with a green background i want to sleep but i can t,non-target
The challenge is to find ways to channel intense emotions into positive actions.,non-target
The pressure to make the right decisions can feel suffocating at times.,Anxiety Disorder
Trying to find a way to navigate a world that feels uncertain and scary.,Anxiety Disorder
I'm avoiding situations where I might have to confront my fears.,non-target
Feeling like I'm stuck in a loop of 'what-ifs' and worst-case scenarios.,Anxiety Disorder
I feel like my mind is a never-ending storm of worry.,Anxiety Disorder
It's hard to explain the sensation of being caught in a loop of worry.,Anxiety Disorder
"The pressure to be perfect can be suffocating, leaving no room for mistakes.",Anxiety Disorder
I'm plagued by irrational fears that I can't control.,Anxiety Disorder
Trying to find moments of peace in a sea of restlessness.,Anxiety Disorder
I'm avoiding situations that might make me feel out of control.,Anxiety Disorder
Feeling like I'm in a tug-of-war between my worries and my desire for peace.,Anxiety Disorder
It's like my mind is a magnet for all the things that could go wrong.,Anxiety Disorder
I'm constantly searching for strategies to manage my anger.,non-target
kenmcguire sorry i had to be the one to confirm your darkest fear,non-target
"It's like my mind is a theater, playing worst-case scenarios on repeat.",Anxiety Disorder
renee okie dokie do you wan na ask ash and tegan and yasmin i asked nicole but she said she cant,non-target
